Hour of the Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
13,17.15566498,35.14700568,50.71671582,34.42024925,49.8511526,776.5964652,29.60205086,11.22764254,7.273173495,19.34018008,38.37656332,29.06930709,37.48912989,26.65249058,21.74218184,22.09068467,16.96022915,19.84928433,12.03694563,6.999116606,3.166324448,10.03300014,17.71781707,30.89218441,14.00504244,17.16226309,15.74001628,32.86970112,22.38487159,65.53950519,58.21284948
14,20.86590954,36.67119906,53.22656069,47.83551097,51.54004097,67.47839959,36.0832346,20.78752207,9.649220799,17.66261483,36.03931446,31.50853206,31.46302235,30.89214611,21.13888737,19.46703407,21.73400001,18.67387374,12.93385961,9.541299326,-0.079263055,8.043348579,15.96800931,20.76005202,21.41254493,11.94071001,9.31091364,25.46318635,26.76816842,75.36945061,58.07386073
15,47.15354465,661.5737443,688.3816335,67.50458544,80.48712696,105.0362577,66.98489806,50.8865678,30.06578893,20.97759772,43.84196259,31.12471609,48.30296224,40.84421093,51.32770601,30.02526905,30.41835643,33.43288239,16.99406452,24.95549643,4.990380509,8.492097315,15.18392021,39.31921349,37.47299045,20.24069942,21.2563748,46.21408624,50.83748975,89.66725779,76.85545655
16,132.1172268,781.6425485,952.6005315,291.3078478,268.4806254,302.9257272,1020.245287,852.3169386,820.8584489,185.6330371,83.83541966,176.9415011,224.8588462,205.5502675,223.38509,179.3068982,195.8559713,837.774373,80.36384344,107.523214,43.31205008,54.18518586,66.06116704,110.7713871,224.4611063,193.222102,194.871653,829.8502248,264.8991776,1044.552442,284.2602397
17,348.5711965,869.7900522,1131.622035,474.5651289,443.239477,464.9598193,1293.166704,1075.428136,2444.165574,1066.982139,159.1667844,264.5327157,410.7946697,422.6339976,389.944117,290.5090992,313.3329997,910.6999045,173.5058954,321.6106462,888.3823097,930.4325635,203.4474205,188.9613193,307.7513273,313.570079,310.8250649,907.438993,308.2674687,1121.791029,352.7433933
18,364.8918938,865.3716929,1131.355142,503.6933186,486.6207784,462.5542075,1283.123499,482.9082055,1867.75215,1040.339769,191.3120439,337.0719085,474.9715578,502.4568467,510.2151551,342.7450445,296.5633568,298.7066629,183.4001041,352.397851,912.6333167,923.4124211,187.9843788,144.4624608,299.701167,282.3492435,323.2181212,314.0165739,340.4642655,1189.117758,336.1431922
19,265.2657353,821.8278533,1047.606735,408.2557023,451.1811745,433.9881465,1185.115517,408.6795952,1159.030723,312.5976703,174.8814403,323.9298149,411.5162674,448.8631763,431.3519747,334.3345922,319.2332251,323.7412949,157.4716806,266.8672054,168.6749046,913.2040529,174.2906681,167.4768823,310.5808813,311.1575014,315.5300287,328.999445,341.2918425,1135.646344,333.538866
20,229.2250051,176.1188847,378.0916312,365.1404221,379.6201224,370.4315985,1105.310564,348.4846837,367.8874448,302.8905222,169.6872834,292.0292101,352.5171123,351.4679796,335.2165503,301.1661963,286.8664516,308.8664579,160.4480804,214.6290218,163.3541018,160.9728963,169.5092654,159.0413013,277.7811611,295.7016103,293.6116631,291.4516243,291.5673964,1072.121578,325.449975
21,231.4153344,169.5883427,362.4528818,367.7124323,371.1826045,362.0667802,340.7695604,334.1573876,349.5184762,281.7370071,161.3376227,283.6241646,351.3375742,339.3370179,326.1776196,288.9900082,281.9773657,300.8788197,150.8976649,212.1890035,155.9377048,160.7264752,166.7648898,161.4888426,280.3004039,285.5296169,296.8092579,292.9257552,290.7669971,308.492355,324.9213122
22,206.9977416,173.1973875,233.0948626,224.6464163,217.2750428,217.582432,197.4987754,187.3124218,206.2293276,189.8246704,160.7248549,170.9545774,205.8243131,196.9620619,194.2603183,183.7843893,179.2855702,184.4415123,142.1338694,180.7690411,148.320151,156.1984955,163.8183676,154.9528259,170.1210477,168.6296535,186.8583999,184.3833011,188.9061382,180.5744326,182.9539256
23,212.5317002,177.3927395,222.5202036,206.4196435,213.1592647,210.5443598,200.3966754,185.4953837,195.6143263,193.5003221,153.8523593,168.1349743,206.3093921,188.2976012,187.1836351,179.406782,180.7555315,175.0531575,142.8717287,170.0891494,139.1416451,154.880253,163.5340857,149.1968595,172.2682666,166.365292,199.3916142,185.4913412,183.6960084,229.9854176,200.4905728
