Hour of the Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
14,-12.72278178,-9.830474108,-12.72278178,-12.72278178,-12.72278178,-4.865587346,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-11.58050514,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178
15,-11.80805958,-9.020801676,-12.72278178,-12.72278178,-12.72278178,-6.780884877,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-10.84255461,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-12.72278178
16,-3.480017527,0.986957161,-12.36253809,-7.192797926,-12.46050147,-0.726538597,-10.51674537,-9.143036611,-11.74958466,-12.72278178,-12.07569093,-12.72278178,-12.72278178,-12.72278178,-11.62744226,6.998633649,-9.518296792,-9.613883301,-3.406876625,-12.72278178,-12.72278178,-12.72278178,-11.94700954,-12.72278178,-12.72278178,-12.72278178,-11.46507581,-12.72278178,-12.72278178,-12.72278178
17,145.5996725,86.08337055,104.0380222,109.0276368,59.76089144,97.3441582,34.40180329,121.1954391,144.1619047,106.3953558,108.0094098,77.51911911,24.88711315,51.25407968,115.7153396,135.1035064,56.60022856,60.00010822,86.83652266,34.80648925,6.684069122,42.77539288,116.4846978,28.04936184,16.25332184,16.17128145,121.7473318,19.9474557,11.16706458,45.74467885
18,214.582288,176.3609331,192.8403807,187.2343072,167.4024529,152.5474976,147.4254464,155.313911,162.5220414,192.5053463,186.2531525,115.4834272,138.4264207,135.3446338,160.6569064,138.208081,196.2910026,207.2013141,198.6811809,181.8618297,175.4604939,167.6080732,193.5409853,178.8624571,180.5411422,149.5282434,113.1379708,132.2854117,129.659713,167.8952368
19,171.8454636,108.4418769,175.7832475,157.3917961,134.2219755,113.635766,124.2553549,138.7273921,149.929327,197.3819191,163.0279855,75.28590289,122.8256168,82.80239221,119.4457631,135.9668945,169.0728841,174.5543312,185.4331673,179.2707914,134.597254,157.4928494,175.8111441,152.7581432,83.7389723,171.239574,116.1030035,84.74518166,73.39646618,149.5927891
20,160.987756,64.52670616,88.87417266,132.4186685,54.68861258,60.61477681,114.088538,134.3837697,86.11210691,159.7554729,124.7320526,79.29903344,69.46036843,85.01585221,121.8311269,131.4089225,102.7169601,97.84058813,127.605083,82.8693659,45.17474843,99.82179876,83.33601008,62.96498371,34.03863036,77.39257054,111.1782863,29.0689702,35.64796535,115.0273024
21,143.1374569,62.85038439,86.79336949,131.58427,55.09518326,48.76135325,30.34778406,134.2926188,91.99649804,107.0972674,126.6063345,69.62581488,21.4426715,83.58901579,107.8509016,136.3783668,105.0125803,95.55036055,131.8990574,76.64673386,38.8756567,93.355837,94.45584683,50.15386153,37.99510686,77.88536406,107.5132555,28.12380421,31.98837278,118.0733028
22,147.5689654,66.85705785,89.08057802,131.8114686,72.35198978,61.51810907,35.47194702,133.6435773,93.08228517,104.421311,74.51668544,63.84797118,30.59100084,63.3162514,117.1612955,136.9184242,92.46530748,72.54510876,139.7733211,57.78020404,22.22470432,87.75534888,96.895273,44.29334939,28.52456534,78.35759308,104.2171661,21.36285192,25.46064068,115.3649539
23,151.1870213,67.31096318,88.47644397,134.154576,81.43613556,104.9240891,33.43871333,156.5330163,116.1538471,129.0586932,69.00473296,63.08826441,18.32862034,59.2663357,117.2604138,149.4600749,86.92227793,75.35267181,135.7805388,57.81473209,21.45197881,75.99862262,97.09014831,50.378229,22.5252749,72.15987978,106.053533,19.40904505,27.70178943,115.3522424
