Hour of the Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
10,28.01403132,119.5771142,23.46071025,-4.730891998,12.2492162,28.5463763,14.76220727,2.830759259,7.661519178,1.948862646,-10.96627553,11.44442389,2.964390572,9.658576736,-9.527757732,3.761907515,-11.19855974,-9.221906696,81.54240171,101.6658489,29.66707519,114.1557093,105.0359792,10.30229475,-11.42619934,-9.679322788,30.06462063,-1.364140829
11,20.15998031,101.2971451,21.63206735,-10.54672675,-0.678647016,34.1790009,14.2821842,-3.514620708,-0.054120124,8.175905608,-11.44186453,4.469372202,-5.672164653,-0.194896322,-9.941555144,-5.661003534,-11.2394041,-9.779584372,19.02495549,109.0302106,27.49630201,66.60691319,24.59558518,6.282060593,-10.8952704,-11.46680891,10.20033407,-4.659327123
12,24.41091156,85.2074874,19.88319251,-11.5644185,-7.013833952,19.67935268,7.695817043,-4.427035066,-3.347129836,-6.526073272,-11.02482638,1.138951641,-9.21608011,1.406239937,-12.31944948,-9.183877602,-10.94780867,-9.963611532,19.64406835,72.24823624,27.08976608,108.2995607,24.31278318,7.303980074,-11.6741885,-11.34607358,5.06176408,-5.94810386
13,8.599065075,86.41796739,20.83150405,-9.737750759,-8.440062669,10.51621875,4.302409754,-6.925871759,-5.98330795,-4.489693364,-10.51000831,-3.022229019,-9.521589717,0.196081864,-12.31944948,-7.325654388,-12.40374486,-10.81897266,15.69636964,106.3390851,26.4354581,82.50202048,28.52148029,8.908491877,-12.19918425,-12.72278178,4.273633688,-9.595296325
14,6.017469783,81.26374635,23.76680294,-12.72278178,-11.56961129,5.007280718,-1.507358017,-7.902493405,-10.45714495,-9.128356104,-12.72278178,-7.36493501,-10.36526008,0.759476921,-10.32562459,-10.13872608,-12.72278178,-11.43983831,43.042783,77.56473189,26.63318713,103.9869093,36.04803222,-1.003676451,-12.72278178,-12.72278178,1.29446095,-10.43050548
15,10.76843025,81.12856075,21.78405151,-10.38460237,-10.14270007,15.36271982,4.429368011,-10.39392792,-8.65061383,-5.061880405,-11.6253949,-3.599827425,-8.123910951,0.040357645,-11.78617852,-8.42650737,-12.72278178,-6.042900777,81.78541424,61.35025451,26.61187635,56.33578404,83.43035452,-10.89415021,-12.72278178,-11.02704282,-6.112578747,-11.18836117
16,70.0016737,111.0541273,33.67934513,14.71976042,77.56490093,130.8646045,71.35007466,42.53527422,67.88078328,66.9843138,17.04678126,59.4698489,19.20845242,22.99507024,62.07210552,41.26988678,23.43183832,121.9206252,140.4592941,56.71336263,118.6270577,178.1149777,136.8320568,-0.161275371,-0.205894839,34.47114328,53.76142693,45.870216
17,210.2253177,195.1592898,198.9255952,208.2961795,170.6071841,222.899839,187.1662527,212.6113614,198.8892403,228.7834137,216.7749025,205.633234,203.9885002,194.4025829,189.983033,221.9144001,209.7460068,206.9558039,204.7799267,195.1985195,207.0988546,221.3787416,188.0640522,187.1084485,223.5097472,204.6076159,225.3089177,220.7912043
18,128.977825,135.5816241,180.9227399,198.7356545,136.7405587,109.3271105,127.9765338,133.1564315,160.2463469,165.9392176,222.8995676,133.2499127,197.0691034,183.88004,166.0553065,184.3319144,220.8988254,247.8427796,182.4301001,138.3073166,124.7233259,212.3851557,197.2529603,208.8989265,182.8397507,115.3193862,132.3405154,117.7930443
19,126.9681046,157.0034769,175.1781915,200.2751117,161.2761848,130.1208711,111.629521,121.6611214,156.5939215,150.9564177,174.1914512,170.428877,184.5846727,170.6608183,169.8794739,124.5531035,162.6661426,220.7069456,172.2803651,128.4145995,127.1097069,180.5039382,159.2783832,189.6139345,121.8804668,158.5916659,172.1363729,156.5994326
20,147.0086847,147.4503835,175.5154112,202.1843878,168.3364604,118.1250102,146.0349319,132.7149396,155.6723749,154.9495238,171.8465463,169.8372382,181.6896084,124.9261596,141.9891347,184.5834499,112.5501364,193.2878038,171.0371788,136.9403464,171.2676174,210.7725654,192.9377451,202.3239956,129.949203,171.9377128,175.8139556,161.5508342
21,156.7030335,146.7290145,144.3879921,161.7476742,168.2640226,172.4888475,156.8679469,154.1599635,149.8558254,145.2793216,158.0556419,160.9762189,156.6146882,169.109329,180.3538014,118.9746296,157.6879255,195.6960167,174.1904286,177.2549816,169.7845862,204.3475386,161.0873554,150.6040114,182.289293,166.2020768,176.2560752,162.1272826
22,154.7917665,174.0401647,121.2709439,162.9510547,138.4639473,169.6689038,156.295039,153.0034244,145.307919,148.3125639,155.2457898,162.6925992,136.3856891,171.695568,196.1911488,148.1120161,156.1284446,190.8182211,172.6627276,192.0957513,191.5402086,131.2290927,144.8927439,128.808489,181.8812801,221.655352,179.708004,222.2214406
23,155.0983815,180.7932369,150.5189506,158.2448169,215.2580303,167.0965079,153.6671736,146.8516989,144.3497961,190.5991671,181.2795177,163.8671827,140.0459624,216.1627004,219.482226,151.4717741,176.4729078,190.941349,163.753805,181.9667354,179.6648533,172.655064,159.3762993,128.2099802,187.1900712,167.7973722,166.2958182,168.8607674
