Hour of the Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,177.4784364,186.5901487,163.1304846,205.8132731,183.6543007,142.9500075,189.2207965,131.7287514,179.5280206,197.791916,199.9351513,198.5031717,147.1185106,182.4694413,188.2782219,187.3349232,186.3479323,219.6129722,207.0111973,173.8108471,171.7931919,146.2847146,171.6669102,195.1210094,151.2940899,216.9316124,200.3746956,179.8620411,175.5828616,175.182656,132.8208038
1,171.7307999,162.9267742,159.087839,200.3148679,193.8906161,128.1040245,191.760397,132.5867524,173.6525387,180.9894464,185.079327,163.3857361,195.0001319,185.9152744,197.8023304,175.5799715,176.0815374,149.0897649,179.368214,226.6651303,170.302955,137.6381568,171.6534043,172.0485853,166.7483928,154.5653096,195.0577638,185.6924031,162.1569913,158.4865595,135.3353437
2,194.2189308,176.5480034,156.0962255,220.5992345,204.4666079,183.9511017,179.1644167,130.327056,174.9193169,177.7512058,170.2132309,168.1586707,168.5968434,174.8732847,180.5645515,173.6146459,166.0679979,190.0821438,184.1576514,164.9918349,158.4737403,159.8984478,168.018039,171.227015,173.6046808,174.6234257,193.7596025,200.777557,152.5135042,168.9768626,135.2125688
3,191.388264,169.3263141,155.6155473,204.2162406,197.8100235,186.023749,188.4713041,165.0261286,161.7972371,169.3705768,174.687669,170.1221085,161.3497566,173.140665,173.1372051,163.0441408,174.6611934,179.4689797,184.472005,155.485988,152.5329846,160.3926061,172.5861341,171.1475506,168.1100401,190.9647303,168.3722778,187.2364307,150.5661274,160.4831078,164.8542526
4,193.2756233,171.8713376,153.2493427,219.0768313,197.6898833,171.2240809,184.1164224,171.1480103,163.0796637,164.5876244,171.4783796,170.9258261,180.7625795,161.2149758,187.0930698,166.6870593,174.3194913,181.5813622,182.354664,163.7218783,149.1316714,167.0172821,170.5877628,165.9908315,169.9554878,197.5482124,164.5195415,186.7119663,154.9105715,162.5582965,174.5863829
5,196.0075644,180.2783865,157.7856167,222.4805926,202.8983365,157.9535018,180.3348426,139.0082563,177.5186789,189.0043942,181.2109527,190.5816339,180.306648,158.7278608,179.7691574,189.4757596,184.8959312,204.2526746,195.2591356,162.0928298,138.2299088,150.9904429,178.5483597,184.8986017,177.9719855,218.2802041,189.6815421,184.2808229,165.4984641,178.1596472,148.5156749
6,205.2814067,199.6741316,165.4207752,184.7576758,197.8611782,170.1595888,197.7371415,138.6955374,215.7990805,179.2080194,200.6660032,184.0383411,181.5834561,173.4486441,196.9484231,200.5404876,198.3196171,168.0169944,212.5832109,184.1847686,148.3855943,163.8484881,168.7962322,217.6966007,207.6042947,212.4542946,188.2473986,195.8884682,175.5966757,186.8086017,154.5708356
7,208.7880787,194.0222467,125.9855162,139.788622,139.4176258,153.6645582,194.1511586,169.0189006,173.8391155,168.6563905,161.9629081,164.7322783,132.4139577,110.8503172,169.3708845,163.3187408,131.3436555,189.8489371,192.0061318,152.7435928,86.54163217,172.4501819,143.8122784,153.0288404,169.369408,125.5298797,160.9341573,162.8753545,157.5261724,133.8131703,146.5310394
8,171.2554801,165.5220952,92.51760992,147.4485636,132.5497331,122.9733186,79.5811463,80.14942968,142.7272506,109.1620029,118.4455392,124.2978837,43.71917016,53.89415358,128.3041626,123.0346807,106.4158298,135.1902103,183.7943186,95.049664,13.54716162,73.26738507,126.4207621,164.3946228,77.92745849,105.4035371,74.87526106,75.41317804,108.9213845,97.97771146,42.06740704
9,156.0114074,114.4965032,63.205935,53.32744878,94.59851126,105.640449,42.59972086,50.90419553,111.2478278,15.71996885,67.88669438,42.44669361,20.6301734,10.74299107,63.33992348,73.29564848,6.689224115,110.0766795,144.4411929,44.09957691,-8.723861919,34.34680202,85.23003286,119.4676814,26.14547509,61.92449422,11.06829598,13.10352019,48.13857446,38.43731414,17.9940661
10,124.2598714,89.26165047,62.70032927,48.37658881,77.97454998,77.9919021,39.32730069,36.46430416,112.781075,5.816223915,53.17952431,22.49472919,15.74571094,10.68566901,21.55023957,67.80038176,2.263735798,65.79431801,115.1107441,37.18924606,-10.264505,18.78615604,98.26765932,117.5703063,14.2358101,31.13499859,6.401664668,8.190312247,22.0985261,41.02362348,17.7398537
