Hour of the Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
14,57.96800787,79.40747949,83.72048978,27.28536789,72.6394611,20.21003373,-7.382007826,4.018092079,12.39363244,45.62226961,134.9261911,63.51855741,-12.72278178,-12.72278178,14.36359452,12.97197197,10.8283077,35.05478908,44.88899225,20.63115486,-10.06946682,7.774870607,-3.66520734,-12.51275388,-3.794480931,1.067682261,-12.72278178,-8.627618374,14.46116931,52.94661523,57.33720862
15,87.49008714,94.67622179,96.305251,32.61696237,77.33415462,18.32554251,6.828679786,13.69753405,29.28208715,24.36566134,155.136474,34.14326451,-10.09994827,-9.154548411,35.8906729,31.82504781,34.47497703,57.16768791,54.20126409,30.86430692,4.778425745,9.93057224,-3.286977608,-10.4693168,1.480358001,5.595701224,4.684682762,20.26140777,54.46285653,74.45079517,90.66582398
16,199.1679699,204.6583049,135.4539909,155.8137036,169.8404868,163.0638841,88.25514948,171.2218053,183.0950404,159.0121955,194.9459435,88.17560711,53.5061886,80.13334687,192.337443,164.6847704,176.1405816,2713.394961,184.7641774,178.3241273,94.78939414,99.45546024,105.4121127,86.59520195,151.747446,170.8016323,109.6471542,167.7399721,217.6973334,214.2943593,199.5016684
17,241.2926059,180.2517961,188.4001115,142.7921013,170.0323573,208.3297741,211.6648889,203.7010258,206.3192649,175.2755975,206.871942,194.6746458,191.5252589,212.6407922,175.6910797,217.4027555,225.629787,2661.432713,130.6143014,178.740335,186.9213268,3172.13184,198.0158677,193.7420137,209.2898023,171.9284554,191.9888945,181.564485,163.4744126,171.7565521,165.176434
18,230.2562507,213.7378812,197.5819319,177.772787,174.9634926,192.5145636,202.4025212,186.0914159,199.6886982,174.7910992,221.5662454,207.8305901,193.6091298,219.3717203,206.2292434,196.5394052,173.8445736,130.5489439,166.6852898,181.4880934,166.5207381,3141.612977,175.8018114,152.2664319,172.3353844,129.4015636,187.1661804,183.0725542,124.310997,196.4102785,183.2385423
19,198.9728899,193.4034974,187.1386674,169.6172757,166.7619057,181.8515385,173.4856626,186.3955824,151.4072707,174.2243488,206.1205585,203.6912665,159.6489068,201.8561667,160.2701423,153.0368083,179.8422552,202.8818052,169.3779882,179.3252228,167.3831194,3108.360279,189.2557085,149.5508542,206.856938,162.2130717,165.4089042,185.412781,127.2060753,165.260311,161.0905749
20,179.4765207,187.2016067,182.8201541,174.473288,149.2094337,148.6769021,134.271881,166.3707253,182.0775176,176.1840396,200.1347077,177.8555664,156.0318218,182.4741185,156.573759,173.8635741,159.5119749,181.1845544,165.2524542,171.8763166,173.3354963,135.1480394,152.6034839,140.4777717,126.2062724,146.0461779,159.2976478,140.7923543,124.9065253,150.3498991,147.0250953
21,193.1908143,186.1975411,187.4280097,202.4484171,198.5012708,170.4732507,140.6512076,166.5569252,177.126705,174.1188487,191.4577907,164.0390622,147.2878476,176.0530034,165.4362454,175.4079635,168.1052225,184.4042204,155.5473648,161.9772016,164.1812286,150.531824,154.9983367,144.1276973,165.4032648,138.6817055,158.5091338,162.8698506,178.3665927,170.867584,153.119054
22,210.6736833,186.7654185,179.3216856,202.2813199,163.1592445,169.6017857,138.2073261,153.7887143,168.284077,199.7863946,187.982867,140.9527557,146.9208283,159.6259201,210.7567632,185.4957669,161.3621217,183.9723289,151.6503772,160.1297092,168.6329489,146.440173,156.7641144,165.5157143,162.6926357,125.7618235,171.4594426,188.5682798,194.1928552,165.9811511,176.1891698
23,208.9344124,216.9798436,172.3839926,165.5118521,143.2726842,163.6915192,131.7382685,150.88207,163.868576,193.6374645,175.8940465,134.5984165,157.7905751,155.3756125,198.628443,195.156512,163.3142359,170.6636127,149.2879626,154.7786178,150.48719,138.9643765,144.0008342,132.3048662,161.8242046,120.8662482,160.653418,164.9718152,190.5779774,176.7147435,220.5089987
