Hour of the Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
10,24.58691083,54.12962501,-11.75370234,-8.879495982,8.765624339,11.44741392,0.275806487,-12.08018816,4.608344248,-10.67199674,-12.72278178,-9.010451693,12.9441172,-7.220458655,-10.37830349,-5.755768385,-12.72278178,-12.72278178,-11.45427762,-3.358874971,-10.30957862,-4.697702946,-10.66811781,-10.13865151,-10.11890898,-12.02656321,-8.314347851,0.575476801,7.067149734,-12.72278178,-12.50816687
11,2.170810165,28.46773585,-12.72278178,-11.1831043,5.575030387,12.42465006,-3.643137531,-11.9516065,3.153852146,-8.817101057,-12.72278178,-7.591395538,11.41463652,-10.20855926,-10.93677125,-7.940988605,-12.72278178,-12.72278178,-9.242850518,-6.257102884,-12.18180174,-2.42920623,-11.52364777,-10.78704413,-9.565563735,-12.56684964,-9.698116459,-8.543509169,-4.304055498,-12.72278178,-12.72278178
12,26.2545297,30.293279,-12.03055037,-10.0441998,-2.599169683,6.807377163,-7.490038844,-11.82522627,3.45649636,-10.85862995,-12.72278178,-10.11530363,12.71055099,-11.44135032,-12.36386933,-9.795603891,-12.72278178,-12.72278178,-12.72278178,-6.084552493,-12.72278178,-1.689615668,-8.588123126,-12.72278178,-8.31777502,-8.819849405,-11.1846461,-7.894439392,-7.992435318,-12.72278178,-12.72278178
13,18.37985952,29.9313122,-12.72278178,-11.33550412,-4.79944897,3.930480491,-9.050103253,-12.72278178,-2.031154921,-12.72278178,-12.72278178,-12.72278178,1.331232419,-11.11350787,-12.72278178,-9.909291102,-12.72278178,-12.72278178,-12.72278178,-7.282111861,-12.72278178,-11.57337648,-10.84844336,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-11.77279809,-0.999366797,-12.72278178,-12.72278178
14,15.46656343,32.86996744,-11.84330316,-11.57174227,-7.484077476,-3.325592846,-9.117788299,-12.72278178,-3.525554307,-12.72278178,-12.72278178,-12.72278178,3.984468933,-12.72278178,-12.72278178,-12.49800153,-12.72278178,-12.72278178,-12.72278178,-7.967440368,-12.72278178,-11.52451829,-12.72278178,-12.72278178,-12.72278178,-11.79535001,-12.72278178,-11.72512464,-9.249181577,-12.72278178,-12.72278178
15,84.65840231,56.74148127,-5.904343705,-7.941948951,-1.222368663,1.099128361,-8.459808373,-11.48770699,7.648936826,-12.72278178,-12.72278178,-12.04131496,23.61872799,-12.72278178,-12.72278178,-10.98568948,-12.72278178,-12.72278178,-12.72278178,-3.921678676,-12.72278178,-12.72278178,-12.35640588,-12.72278178,-12.72278178,-12.5240523,-12.72278178,-11.45853324,-8.593180744,-12.72278178,-12.72278178
16,142.928065,157.8703066,76.58861177,30.48836542,112.4756109,65.45418873,32.90185946,17.76302002,81.32791235,-9.721944881,-6.426303102,19.46689312,89.68553159,15.37529778,7.855848345,19.25015481,-12.72278178,-12.15762898,1.674498726,70.2530115,-5.540556922,-1.723078191,3.364670829,6.806694122,-9.908882989,11.15191556,8.110695169,14.17402953,59.02464358,-12.72278178,-12.72278178
17,198.7431857,189.7253329,183.8260173,156.8250324,199.9777908,149.069354,185.0502044,189.7029911,196.0025999,84.16359756,175.2713456,214.3058037,209.1466722,197.0380708,156.5158869,181.6649285,37.41292955,127.4017497,179.9243916,193.3940281,172.6659247,171.6736188,169.0149162,213.3444158,126.4495513,141.981526,89.65996234,183.2646239,199.1602982,79.20753691,77.35461443
18,149.4832411,198.3036642,205.4034353,150.0942923,219.1006691,171.1905994,148.6696669,164.0958876,155.2416434,162.5752008,158.5818092,171.3062721,163.6745806,185.5771777,132.0848499,219.1331443,118.6598211,198.7968351,187.1938851,204.383025,153.9924745,191.2610253,209.0915041,149.6916767,190.1214023,182.3334748,195.9335326,164.2440816,167.505013,190.3988386,191.7680734
19,148.8844131,138.7846634,207.8344481,145.3231909,198.0840512,125.3217547,131.1792542,128.2042393,129.080924,135.9324638,134.7039881,153.0102585,133.3416977,164.9545562,132.4709937,195.8727811,157.1781944,172.5443572,167.2022902,206.4463925,120.8756318,179.9136413,231.5987384,148.8704839,118.4035307,158.0967411,151.9657812,155.5827927,188.9481955,191.179934,182.313809
20,136.8130629,166.9788919,189.365835,143.674648,155.7048615,123.5908546,150.4584795,184.0665637,127.4218848,161.3911793,130.9542564,150.1198738,144.0365831,126.8075375,137.3660068,120.78013,117.9716822,160.1619875,154.6623289,174.2981737,125.0176789,158.1765926,157.479519,144.2516243,120.3768728,127.9858273,123.9467719,124.2621141,141.4778153,188.984681,158.693599
21,156.3439835,141.8876893,160.2858478,125.3362657,157.2914094,145.7936278,129.0295705,128.9725041,122.5074148,101.4265863,151.6227003,162.9346151,130.1524462,115.3563764,135.5211338,91.98173967,66.25472665,129.8656272,135.4897608,157.1772033,113.6395082,134.2095999,127.8656581,140.167087,129.3845702,120.3184144,127.1081943,123.9623565,121.3115019,105.6909785,114.1344853
22,195.5514388,128.0744562,156.2368646,141.5620804,159.7170029,119.0457134,135.4085151,119.3229506,119.8519745,98.38652684,190.4936219,135.6652579,129.9889258,110.3012488,125.0886157,82.58069721,66.53521834,121.6519983,158.2575921,138.1362666,111.7060313,126.3574072,110.7490831,141.4512686,120.9065082,114.8045994,128.0071811,125.1354595,123.9045886,98.27629753,100.2463847
23,189.617113,133.1391658,152.1966051,144.6141309,147.2824223,118.2355577,136.212479,112.9334852,123.99918,100.2537799,146.9595404,126.8469495,129.62166,104.0338291,179.542167,60.76270498,61.82065978,136.045231,191.7631052,133.7785717,114.4748513,157.2411941,104.0024808,143.5021111,125.1011555,115.5448477,124.1231234,129.0598742,124.2476946,97.42139137,105.9097578
