Hour of the Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
12,46.02663101,75.8197376,-11.5733508,-11.47792937,3.365536256,77.43430845,45.11654762,106.0133545,65.2847628,7.072012822,-11.02734312,0.783044108,19.16469732,11.47491852,-6.403637269,-0.153346937,-11.61183511,-11.81370908,11.51882111,14.58427206,20.86248982,65.42735428,154.9838308,-10.04325345,26.11647914,6.6079261,2.126483262,8.634832161,14.93290042,68.71521884
13,43.34698661,72.11491864,-11.40155756,-11.85825643,0.067367273,76.02964601,55.72287878,107.5775173,70.48862439,8.846721684,-10.84059781,-5.911286441,7.592756186,7.687900823,-6.74118506,-4.590601638,-12.28613356,-12.54773072,0.890503546,13.23439405,9.089206352,62.47381247,140.361925,-7.07052941,15.15939619,4.192951739,-0.592082394,8.808419796,13.34134618,55.94469451
14,36.75962907,73.7120937,-9.496834385,-12.72278178,-3.044093713,75.38806454,23.24634124,136.9587501,118.2008324,11.05476834,-11.19904248,-7.339932157,10.67815097,8.846777127,-5.010892371,-3.929271531,-10.06045164,-12.34124029,1.477096956,7.893938054,18.24653058,60.03528582,140.6846577,-8.270029199,13.27687702,7.504533645,-1.868959954,17.37403757,8.633767344,31.55808737
15,70.80885039,103.1957371,-10.61931368,-12.72278178,15.19131646,120.8967185,103.9914514,170.491164,126.0714762,87.55040066,-1.596906499,32.95627123,71.81151742,66.39000246,9.864954805,18.88958865,9.575331072,3.353029119,42.2312357,52.09287421,74.32545359,80.9220353,174.3323301,45.0820533,15.50252184,10.55796054,8.719747105,50.22276478,20.10034885,76.53463657
16,222.6285457,170.7619416,106.3345617,95.18773932,192.8497142,198.7803033,196.0317905,211.674008,201.4234811,191.0769698,150.361418,203.1817049,202.6284592,206.6775081,181.4263011,189.1331333,188.0227077,203.0149661,203.2638993,194.0939482,219.5919809,207.9015729,166.5757028,190.5474363,148.3492042,168.427797,170.1473564,187.9464996,190.7605021,211.3902822
17,147.7296292,182.425483,183.4855893,169.7731093,199.7664202,172.6379067,170.5468902,169.6763233,172.7247905,194.6917301,191.7180236,181.6604821,207.0688465,179.8058252,151.4606672,151.9007874,148.610655,186.5919018,203.3480079,163.5827169,125.2929879,173.1987641,149.1725338,207.3828124,173.4592335,199.9616203,217.84925,222.5932688,167.9649304,175.0660406
18,167.7460628,155.2653964,162.1688482,169.298636,176.9719938,173.2323617,148.2072114,173.0933635,174.6097763,202.1528753,187.6975012,133.9403977,167.9390142,142.9708377,140.9849936,144.4902363,129.3720159,142.867612,115.7590346,157.2696861,180.1567408,188.9987074,152.8423336,174.8935961,160.446947,158.8455665,169.9557828,154.2963313,133.1732823,138.5975696
19,150.5770311,175.3315878,174.2125241,171.7314304,152.1876185,175.1490163,180.1123275,142.8139762,175.878512,164.571219,192.4211591,155.028919,170.253809,143.3400831,141.2191986,144.2107092,129.9980628,154.389577,149.9845468,156.9557281,177.2887374,165.933238,127.663449,160.9689642,171.2459748,165.3355896,157.8051623,157.606913,155.200814,165.3839671
20,167.5556191,153.5701364,141.8293562,183.4700782,173.9866331,162.3225821,180.2958503,149.2685993,168.5759673,161.5727169,192.5155397,148.2338766,169.0248879,140.4931347,155.4288979,146.1404735,127.5619167,181.3503876,151.8474989,177.7218143,130.517803,174.9762743,133.301571,159.5249632,167.715171,164.8483918,168.931556,158.5330133,159.7811069,177.349425
21,174.0659205,150.3344005,151.7446803,158.8303861,172.5665355,189.0460551,197.5442881,159.1545397,156.9170751,135.8557377,188.513577,162.0743584,167.1304152,146.2324353,148.5282335,186.0796404,146.6043838,200.0731005,159.8624126,172.7313853,170.8109676,179.7252461,172.1223864,145.1920309,160.8609465,146.6512557,119.9433767,156.2971208,160.1957826,194.5486146
22,171.0068109,151.6949453,150.4279303,163.7306214,167.3857859,203.2848198,201.2077732,157.7240742,165.6118428,140.6590485,191.7056268,184.2444636,160.7113012,149.3825577,156.8969385,170.1010055,175.3232474,202.3368399,201.4298307,164.7098045,175.5467729,179.1548801,195.1000373,139.9935403,156.898617,156.0247363,172.1018866,157.7623287,158.7159025,170.3704665
23,169.5397687,143.2332459,129.9359208,158.2355561,179.9498649,195.8537489,198.4156819,184.8759206,163.8466925,159.1791505,185.696597,188.8896053,158.8180406,140.6346394,134.8079976,144.9029985,129.1173989,173.7586442,164.6465479,152.3612537,176.9172354,184.2095447,188.0484458,162.7828384,152.5604436,149.3119112,193.913226,151.4007709,156.0311191,173.041972
