Hour of the Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
14,-12.62014493,-12.72278178,-8.736983098,115.5620997,187.3573366,66.53722225,176.2653934,72.04688645,-10.37325438,4.378555999,9.560970674,28.21749305,10.91437439,10.9479923,-6.66152253,-11.38705412,-2.560864765,7.34288208,10.26830938,15.82555822,5.778578325,-9.07357555,-11.56346502,-10.57131635,-3.913290548,126.6026845,166.0640453,132.5701376,94.36341659,-8.288261273,79.70205333
15,13.10243162,-2.404181266,17.23156977,120.8236465,184.9164611,94.75494876,183.1329994,53.13821097,-0.018140943,73.31320147,55.85480853,75.10983286,75.92566364,75.6552006,15.38882589,-5.46553202,10.43576376,20.20658285,18.19905239,77.51840667,47.64130422,59.74398378,-10.50045504,3.692330085,9.266930283,180.9378877,180.8900218,124.4974457,100.6141738,85.32976067,92.7428769
16,194.7912818,200.7481038,180.7436819,171.0714682,169.8980391,222.5468284,205.4195649,172.7107072,174.6512158,210.0238749,192.892489,196.6258969,203.4869883,184.8526046,199.8806116,167.2147935,171.7735534,203.2354585,196.2775701,218.1964184,198.46677,161.8785993,145.93565,168.5554117,173.7102766,201.2233629,186.5868849,180.08421,166.9609842,158.4900562,189.2262186
17,219.2969663,216.2986314,127.166994,134.6656862,185.3376039,235.0246534,219.927368,189.9603756,204.2711929,175.646677,155.5186855,197.3391226,224.0161101,214.6016181,219.7067867,185.3679487,145.1244981,175.0345096,211.0533099,197.8244632,216.4682087,155.3848577,198.3135957,228.3690078,187.7125261,154.6672547,202.263722,181.320085,174.937001,166.3841635,174.4811491
18,167.9030392,187.1736088,166.6639139,171.7330936,210.8610169,182.3359274,205.9646913,177.4730176,190.1851584,178.2487588,150.1297024,178.7514284,149.2944626,193.204045,159.3800634,164.3555247,143.4547034,128.893402,130.2553625,180.286089,176.2525938,123.2892045,175.8080816,156.4439044,136.1730781,184.7727222,208.3192799,170.4778529,145.536625,152.764916,186.8834614
19,138.561069,169.6392366,152.9175838,181.0105571,177.1553842,154.2534299,179.4069395,178.9312252,192.5520655,175.6343558,169.0417118,172.3088925,135.3745298,185.0975524,156.9603263,165.0715163,143.3109931,155.44423,133.7387253,166.7157083,201.0075844,118.2878409,184.7130072,161.9578531,145.4322399,148.546798,197.3978338,183.440705,155.6574433,157.5813979,187.4065995
20,117.8051696,179.4214786,113.2921422,148.4451021,179.5282848,143.3344023,192.7024148,180.0458823,196.4803047,174.1542289,193.5148917,165.8720484,133.8811819,201.1609161,149.6572884,144.1453623,146.666833,169.4535656,195.741725,165.5680364,167.8208382,125.8575258,190.5251031,167.8643555,207.9389048,151.5708473,195.5073665,191.2739565,155.3293109,168.5261388,183.9381729
21,155.5813194,169.6932094,179.1257279,206.3027985,191.5318416,183.4354948,182.7655157,163.4223965,175.363053,197.6492882,195.6440584,172.983904,132.4695976,188.2786673,114.3481331,133.323396,156.2818045,175.7571101,181.0930546,159.8080298,155.0434388,114.8099176,165.1656763,162.9544685,141.7046483,174.4616605,199.7690575,169.387893,157.2264172,171.5382608,181.1676783
22,158.4828434,167.2623475,145.9088036,209.9595163,188.9872518,190.4819936,171.0923988,150.0895309,141.4344936,170.0009347,188.6004347,192.1846767,155.84639,178.8830602,132.1991056,142.7706749,166.7550743,198.8129025,208.4372074,181.3457264,148.9769982,152.1394595,155.4160826,209.2273679,211.0133834,165.8880299,188.4186578,172.1529668,168.0548865,173.3593368,182.3812575
23,161.4309391,173.2449265,178.4896739,209.4407673,250.884194,211.1555836,174.3222146,141.9491685,168.4598094,191.7054726,180.7436442,178.8107212,202.1412589,164.8434623,129.4101649,150.6385581,151.7102849,177.4022156,201.1617505,198.1765285,150.9178159,141.4746301,180.5340293,191.5702957,176.2315933,150.6504625,191.5344784,172.8756348,180.9108039,147.7812647,190.8279597
