Hour of the Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
11,4.472813948,0.641801869,-9.34426434,11.72837558,5.668454717,13.03095593,10.9579939,45.25080914,-7.330248397,-12.56245071,16.76770776,6.738426002,-8.873986368,6.101359754,-1.281938921,-4.06531098,-9.8115127,-6.640742143,-9.868630957,0.256528941,-6.508786399,1.03784678,-10.26264555,-9.782286686,-6.434977598,13.10568473,16.06461229,55.92823286,101.5121993,24.03352404
12,5.969015169,-5.732775943,-12.72278178,-0.641946047,1.440669911,8.848351517,9.672024541,44.02456436,-3.036046945,-12.72278178,12.2835332,8.667540214,-6.848039477,-7.242818946,-6.81495083,-12.72278178,-12.72278178,-10.71545779,-10.87801257,-7.309961002,-4.362986837,-3.73563147,-12.72278178,-9.418991441,-7.75281445,6.2254074,14.29869048,35.13487224,105.7613791,23.32252515
13,10.73699883,-9.562650466,-12.72278178,-4.397390018,1.219154239,3.283596738,9.431974173,37.00384763,-0.946901273,-12.72278178,16.20999155,4.272500914,-11.78760236,-3.459021274,-4.085262575,-12.72278178,-12.72278178,-12.72278178,-12.72278178,-4.955073308,-2.160629049,-5.227920906,-12.25894489,-11.71307949,-7.255762647,3.807775007,17.05375158,35.45401606,95.40735295,28.39927611
14,8.093630783,-9.216679646,-12.72278178,-4.591181467,-2.593879338,0.503174592,5.493076381,19.61370987,-2.785479418,-12.72278178,9.249751683,-1.702809337,-12.51387536,-5.522886003,-6.800684085,-12.72278178,-12.72278178,-11.93744866,-12.72278178,-6.55119407,-8.838679326,-4.985870744,-12.30881925,-12.72278178,-8.57704343,4.945993316,18.74607904,49.30175336,92.39047895,24.46586678
15,13.76931224,-8.179660449,-11.50019354,-4.668120177,-2.856598203,1.90258248,3.209653298,16.24145254,-5.962958065,-12.72278178,8.351526931,-1.675534744,-11.16665066,-4.37570085,-6.277748903,-12.5714194,-12.27188739,-12.0760683,-12.26579947,-8.519293049,-8.845785662,-1.494372842,-6.734711207,-11.86611689,-6.727013707,6.85870212,23.12009655,51.36210696,93.14732334,43.70584783
16,58.78623694,-8.932411324,-4.274427204,3.612520766,9.156700928,18.16134034,25.92419809,24.15624368,-3.224703547,-9.771955454,26.47124228,6.873073888,-5.238853093,0.532010394,-3.223085191,-11.13428124,-10.63968069,-5.879404503,-9.421520873,0.983531965,-5.537688005,6.654808737,24.61418436,-3.696092412,-1.376246359,25.41181512,72.70253725,110.43976,144.1336096,106.573872
17,193.4895465,79.01827561,48.45737113,99.90452709,125.2729848,160.2389121,181.9882219,171.7321302,88.90205592,25.21466412,158.3653315,105.4609031,34.79711133,82.20035886,42.286094,18.55090801,21.14017974,25.80099442,18.39165142,25.19060787,67.49577723,126.6529599,84.6146055,16.83665289,81.17946027,167.2648919,191.5372573,178.7401059,194.0613244,182.9180594
18,134.1800336,190.5194075,197.3598484,208.3203175,215.5548998,218.9959171,212.490694,198.7476928,205.266385,188.4174871,211.9359885,208.0910505,205.0123139,184.5819736,205.4619051,177.3272844,193.99734,191.0563517,192.6880178,205.0456974,202.4522208,184.202567,196.3808751,145.0138882,201.8227059,213.4429625,203.3180048,202.5469971,194.6464237,176.0354954
19,112.133213,148.9085441,142.7812252,198.7726261,178.3036825,152.5227268,124.2443789,181.6629191,206.6725693,209.8656557,190.8630669,164.9313578,164.6075335,176.7940041,107.119787,145.0943556,133.4770962,155.6042927,166.2638653,112.7936804,168.31166,169.7912674,132.4720694,172.1111335,131.9523377,154.8013189,183.1313449,189.2892347,194.96057,173.0160279
20,111.09961,107.4432606,139.8915554,132.6891724,140.8501542,146.8924879,153.8598741,171.1108917,140.1927072,138.0459591,124.8011923,133.9254723,125.8202575,146.1289677,124.9544365,141.4665424,125.9350397,115.6237373,125.0085048,121.502215,126.4866799,132.8620751,139.1338387,111.7473484,141.970491,155.9781429,174.9754587,186.4926327,189.2498311,170.8137977
21,88.41708668,105.6281723,142.0793325,129.891007,138.5043653,139.8140261,151.8070386,156.189756,148.6735261,133.5662362,149.3309455,129.414951,122.7558847,145.5488584,126.9068555,137.9174596,132.6092155,117.0827516,126.7315469,121.3031908,115.3989436,130.2711124,134.5433138,156.2525811,141.0202253,147.7921244,164.0314945,176.0736399,186.1496419,162.6845923
22,70.55719459,97.65846369,125.7888051,129.5883249,129.8486481,136.9859725,145.019058,97.0111278,129.7356617,129.0077682,125.5952866,127.7043049,116.8588816,100.6473808,116.7296865,121.3587362,136.1045268,124.0513832,111.8510414,127.7435886,114.5417536,111.7583595,124.5969906,148.209896,129.4498183,143.7577929,153.5399371,167.9783642,112.6925294,117.0588401
23,94.90902312,91.79460159,115.7264444,126.0421411,121.3106791,139.319706,142.4034623,97.23610611,137.7276186,121.1091469,141.0919169,134.4212362,108.7621429,120.642006,126.3370289,111.8667077,127.058557,113.263018,94.73142601,136.827258,114.5305809,123.3785466,116.8184976,107.1482893,125.3310021,151.8986181,141.6760092,158.0636613,77.43244633,181.9144511
