Hour of the Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,59.91090182,59.84738735,65.74354841,50.96352065,54.0335099,57.35236461,60.57838263,59.10158442,62.93058207,67.31555239,64.64855509,58.97356876,87.45115746,62.72539708,6.29628154,3.864868036,10.76332299,55.57258675,59.34140129,59.80185069,59.13436989,59.16324271,60.10034619,2.674645505,2.736668191,16.21370064,73.38523157,58.47944977,68.38331903,45.18064575,56.59041562
1,59.97377152,59.5933148,74.08743218,53.55539042,53.5395521,55.28534773,60.6753127,59.35791858,38.49288133,70.60706807,71.19338386,6.281015707,59.97485592,63.38966375,4.519578115,4.215590268,14.60549191,65.0113808,59.26141349,59.14755093,58.44804667,59.07142204,59.96117175,2.674645505,2.674645505,4.931243026,64.28087888,56.35390081,52.85500691,52.95263549,53.40385814
2,59.97442607,59.79992124,73.5462525,55.4144136,53.66910155,54.66595828,59.48058061,59.53176398,27.47714488,63.12252251,37.20323168,5.123311938,58.95748133,49.10626573,4.499229752,3.977992516,15.51164657,57.30438072,59.30760958,58.65810659,59.11508297,60.08753149,59.96117175,2.674645505,2.674645505,4.979612807,64.37893242,52.15845301,49.23391015,27.74824761,50.93059609
3,59.97442607,59.84673768,66.93743544,53.44180629,58.43575464,51.83749066,60.00478384,59.43410121,22.82060778,66.18632773,68.04786165,42.66868563,61.23070898,59.70560937,5.04202285,3.977687222,11.8131294,65.02919743,59.38776835,58.53046705,58.30501821,59.11774513,59.25802351,2.674645505,2.674645505,14.57511948,50.58268781,55.38101755,56.14442706,30.89503984,49.62397487
4,59.97377152,59.65861708,66.48845744,65.52259349,63.91476576,62.81756945,60.52918733,59.65853892,23.93788233,73.75271239,69.31667105,58.14915063,63.18450319,67.06211485,7.170991094,4.073720946,13.58914799,79.71048778,59.99228177,58.71945225,59.06888199,59.57548841,58.14841793,2.674645505,2.674645505,51.24878137,68.20551703,63.40510153,73.59114926,48.07084981,43.59202659
5,60.23073581,59.92612955,57.82970254,78.69302038,78.55365544,70.41314444,61.03739593,59.14992978,52.42609249,61.73852191,45.88281706,12.19027966,63.74042213,59.4665594,4.437288152,4.073107916,7.935040499,80.23504271,60.02417822,59.49853889,59.76739466,61.35846086,59.92822998,2.674645505,5.915478989,4.452435775,68.65235553,77.37531365,79.99973441,55.70261002,35.38649875
6,4.326381815,5.043579604,4.293113252,14.32266866,55.3504937,54.50979274,56.9714585,58.54393629,4.293113252,4.293113252,6.295469214,4.293113252,4.293113252,5.011566897,5.011566897,2.9127752,4.293113252,14.7012643,7.996162935,17.02206552,5.916244422,19.69311712,5.201799162,2.674645505,31.48339255,4.293113252,4.390609454,9.409056871,6.312871126,55.06421696,4.26088252
7,4.293113252,5.055942459,4.293113252,5.011566897,54.93553699,5.011566897,5.869912538,4.372955003,4.293113252,4.293113252,5.025744052,4.293113252,5.025874733,5.055942459,5.135515552,2.9127752,4.293113252,10.09387658,5.055942459,5.055537517,5.055537517,5.055942459,5.201799162,2.674645505,9.191309732,4.293113252,5.026077299,4.293113252,5.055942459,54.61997223,4.26088252
8,4.293113252,5.055942459,5.00965659,5.023120358,54.87370285,5.011566897,4.486142984,4.297096725,4.293113252,5.023123547,4.293113252,4.293113252,4.293113252,5.055942459,5.186138645,2.9127752,4.900844714,10.53800261,5.055942459,5.055537517,5.055537517,5.055942459,5.201799162,2.674645505,5.915478989,4.293113252,4.293113252,4.293113252,5.055942459,54.33523906,4.26088252
9,4.293113252,5.055942459,20.42223169,5.023120358,54.69781077,5.011566897,5.05989736,4.293113252,4.293113252,4.293113252,4.293113252,4.293113252,4.293113252,5.055942459,5.186138645,2.9127752,7.200286125,4.293113252,5.055942459,5.055537517,5.055537517,5.055942459,5.201799162,16.11571868,5.915478989,4.293113252,4.293113252,4.293113252,5.055942459,53.35080625,4.26088252
10,4.293113252,5.055942459,6.709279562,5.023120358,54.58923346,5.011566897,11.41346586,4.293113252,4.293113252,21.34427754,4.293113252,4.293113252,4.293113252,5.055942459,5.186138645,2.9127752,9.393569541,4.293113252,5.055942459,5.027096992,5.055537517,5.055942459,8.567829123,5.867275365,5.915478989,4.293113252,4.293113252,4.293113252,5.055942459,51.74227512,4.26088252
11,4.293113252,5.055942459,-1.920082371,5.026358914,54.65244508,5.011566897,15.76838031,4.293113252,4.293113252,20.94740382,4.293113252,4.293113252,4.293113252,5.055942459,2.9127752,2.9127752,-1.920082371,4.293113252,5.055942459,5.055537517,5.055537517,5.055942459,25.35132761,-1.920082371,5.915478989,4.293113252,4.293113252,4.293113252,5.055942459,32.83330347,4.26088252
12,11.46337015,14.79628737,-1.920082371,5.055537517,54.77733941,5.027168309,4.293113252,4.293113252,4.293113252,-1.920082371,4.293113252,5.027589338,4.293113252,13.59197837,25.69781646,10.92007416,-1.920082371,10.25151534,5.055942459,5.055537517,5.055537517,5.75889349,4.613435306,-1.920082371,5.915478989,12.4286957,4.293113252,4.293113252,5.773059595,50.25231541,4.26088252
13,-1.920082371,-1.920082371,-1.920082371,10.68214642,54.70031173,5.770403497,4.293113252,4.293113252,8.587064099,-1.920082371,11.03355905,-1.920082371,8.220637693,10.12573021,-1.920082371,-1.920082371,-1.920082371,-1.920082371,14.01822033,12.06524686,11.17630224,16.71898475,-1.920082371,-1.920082371,13.36664451,9.616547836,11.70100102,5.770486445,16.38519869,48.1364989,-1.920082371
14,-1.920082371,-1.920082371,-1.920082371,5.23144643,54.16008946,5.10603341,15.78492604,4.721196269,-1.920082371,-1.920082371,-1.920082371,-1.920082371,-1.920082371,-1.920082371,-1.920082371,-1.920082371,-1.920082371,-1.920082371,4.375834402,6.488469203,1.896500332,4.375542653,-1.920082371,-1.920082371,-1.920082371,-1.920082371,-1.920082371,13.7345074,2.752446751,47.56300757,-1.920082371
15,-1.920082371,-1.920082371,-1.920082371,-1.920082371,58.14640055,0.435587675,41.5720681,8.108364217,-1.920082371,-1.920082371,-1.920082371,-1.920082371,-1.920082371,-1.920082371,0.418581968,-1.920082371,-1.920082371,4.153317743,1.543664085,0.687334802,0.146743272,-0.2640242,-1.920082371,-1.920082371,-1.920082371,-0.43938144,0.162819464,5.901560109,2.165454024,50.94798518,-1.920082371
