Hour of the Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,60.39659023,67.46962915,71.06510686,74.19060985,70.67251096,68.35096947,70.79998481,67.64462226,68.44307648,68.22140371,64.51946082,62.74191443,65.64809746,67.53394005,69.6396481,69.68526994,68.94777292,68.61674139,67.01628952,66.29345901,69.088642,64.70802468,66.05705332,69.82555556,64.76647726,72.36982289,66.3382697,70.13832021,68.41067436,67.61157028,66.73369751
1,62.63130811,68.50859698,71.7273312,74.52376175,71.80674976,78.88672886,70.68899426,67.23321872,67.67476644,68.30322726,63.48098631,57.95079483,67.2170058,67.33046775,69.65431936,70.45565766,69.65371693,68.96352097,64.89646521,70.43942577,69.5878786,65.66517845,65.6011237,69.82511441,64.61055744,69.51170938,69.85592269,70.38977664,69.88800224,66.93762993,67.37654971
2,62.72684471,67.44085112,67.45370559,73.81700185,68.05078891,68.7086207,71.25411187,66.48194698,66.85860509,67.98698557,62.60094573,60.97006033,66.32206627,67.29882935,69.45028258,69.93680227,69.38849526,69.21452201,66.76174502,69.9038499,69.52627154,63.58985174,65.80667368,69.17965324,62.69768246,71.17723112,68.20593553,69.71622052,66.73118342,63.82370065,57.77901311
3,62.85224088,67.15651822,65.86973228,73.94185725,69.4351512,69.95200006,71.28472092,66.57607,65.99428409,67.21811105,62.66639034,61.12428195,65.6937525,67.54886745,69.60650125,69.65536769,69.28953854,68.44207558,66.90246231,70.13907918,68.81865305,62.50664245,64.97132519,68.53941,60.43554227,67.283309,68.16077382,69.43269403,67.10780832,62.92857137,59.58398561
4,64.18501391,68.45842132,63.10452269,73.59273909,68.05187993,70.95750796,71.26950415,66.26107587,67.10921242,67.09050913,61.35947329,61.84853553,66.11898769,67.53243159,69.55660071,69.76212697,68.5227085,68.06826362,66.10366657,69.2118751,69.1806826,62.67887955,66.08567481,69.95154942,57.45048619,68.05057071,68.61846331,70.20185316,68.52300734,66.36940528,64.51564698
5,64.56577047,69.38643181,63.07408441,73.94185725,70.31321371,80.78956231,79.31197828,66.96905013,69.36811275,68.49161087,60.1210225,61.03051944,66.82773515,68.75540471,69.65111745,69.81197533,69.46599268,68.38159275,66.29143351,69.59194858,67.64453688,63.63844305,67.48717027,69.70201888,57.24474172,70.9230756,68.83468097,70.72054728,69.63803055,68.83753185,72.02652036
6,64.07550336,70.14190635,65.49284173,74.01715839,65.91612257,83.97865043,89.67602711,67.37728022,70.23454464,67.53174377,63.59118469,61.8012487,68.02056884,69.55863096,70.10691899,70.36051952,70.14003738,69.13705306,67.02842296,71.25350944,68.5071075,63.55833668,68.05246813,71.53679876,56.16299345,72.4629972,71.1786115,70.96994025,70.00032099,70.59706751,72.26131798
7,65.3652825,73.27977522,63.62073591,69.58972859,56.85247787,85.24942269,95.04996672,67.66035134,70.26320881,66.90352013,60.30766522,58.42180365,67.95619153,69.6218034,69.95036827,71.01791964,69.73343907,69.32429347,66.18188975,72.08830767,65.8047383,68.55411921,66.92184868,72.88984046,53.9614452,55.37411116,72.46507963,70.76713206,70.00092817,68.30175675,76.48387138
8,64.42096422,71.12798994,51.81025622,47.63581642,5.007856726,80.74339497,79.01222938,66.55857632,69.60645856,63.54298709,60.53009221,54.33879587,66.8240399,67.72111202,70.04571039,71.09589616,69.49367019,68.6334002,64.78652299,72.43335585,65.85146539,57.82657507,66.02586082,71.94429834,24.45153115,53.08574024,70.78556496,68.41209269,66.43541437,57.79639295,4.519872167
9,60.93458912,69.69783031,44.16348642,52.70757842,12.3086324,72.41759357,96.80866751,68.23727034,68.00375823,61.31347671,56.31709159,55.88079516,68.27005669,69.13509397,69.65380231,71.38112085,69.91883897,66.24267143,63.43224222,72.19864835,65.33517627,62.59922381,66.91779767,69.50936606,25.5021723,53.81930958,70.51808536,68.75532882,65.80586407,49.17249816,4.362970897
10,60.7486532,68.14389681,19.18806979,28.29861708,4.504866016,73.45501025,72.82759278,66.08900954,67.22086232,62.68066313,56.71299391,57.81031946,67.72111404,69.0887179,69.84247527,70.4205612,73.70453131,63.71444724,63.60801901,71.49113897,65.59943499,61.59714551,67.29962153,69.33876075,16.52221538,53.8070955,67.42400027,67.83284933,66.79669444,52.37813124,4.267200433
11,48.00832584,67.70440305,18.49967164,8.00705415,12.4033967,67.13951691,85.82892484,64.24990353,66.57677679,62.38025014,56.99264491,55.5342243,66.19895176,65.19027075,64.31118711,69.46249192,73.76552645,58.43985799,63.33817236,69.07365293,65.46151166,59.22512477,65.39856692,66.23083273,9.061912812,47.0197025,67.83348971,67.67537362,66.51302089,51.68690118,4.267200433
12,34.19031145,66.99825033,15.94064293,5.508178766,7.1579897,73.94106033,75.59163657,61.26439681,66.98247382,62.25529987,56.17892175,52.98746039,63.9650238,67.75473051,65.64789652,67.82912864,69.63759888,56.55210393,62.49020184,65.37964542,64.48592973,46.09467098,65.34868061,67.67393631,8.463046859,7.585182151,67.81699218,67.35873347,65.25392195,48.90718637,4.267200433
13,55.94067556,34.11043082,13.97379502,5.886216135,6.623928312,73.7190982,80.58630348,61.53435256,66.88961259,59.96345059,55.3931797,53.1612501,65.38106375,67.5782574,65.90114468,67.9870757,64.64210095,64.89183074,62.5560212,63.11837805,58.64413578,34.06469721,64.67449834,67.01562068,4.33362222,4.392944777,68.73963295,66.62078581,63.92215937,42.24708697,4.267200433
14,63.90249306,68.72720066,42.97049145,9.219015839,7.786046365,79.56106293,77.58414743,54.68568286,67.68941398,57.2277738,53.79211741,49.75332551,65.08233946,66.95324135,65.72790973,57.74823252,47.13171342,65.14752792,57.18482871,66.10451566,55.75304618,42.41783458,64.37740584,64.49978313,14.99718211,7.287440113,68.23737945,66.44864833,61.61265434,7.976913186,5.006251363
