Hour of the Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,39.08261681,55.15331748,127.1180626,34.58348734,76.45510787,70.8425081,-11.35682066,74.09051445,-11.35682066,228.4347736,36.97856902,-11.35682066,-11.35682066,-11.35682066,-11.35682066,-11.35682066,127.2036466,-11.35682066,-11.35682066,-11.35682066,40.4207051,37.06826812,68.51950345,246.1962992,217.4490944,50.44734874,71.8930084,-11.35682066,-11.35682066,78.03401231,368.7275507
1,44.12590715,55.13024787,121.2140303,-11.35682066,38.41624659,-11.35682066,-11.35682066,56.0718037,-11.35682066,77.28140312,-11.35682066,-11.35682066,84.80766587,71.71155973,-11.35682066,75.37129995,127.149092,-11.35682066,-11.35682066,-11.35682066,-11.35682066,82.71807905,67.69621268,101.1635054,167.4357279,39.08261681,71.89205437,-11.35682066,-11.35682066,49.64819553,67.30306916
2,44.12590715,54.92992407,103.0340418,38.46858598,-11.35682066,-11.35682066,-11.35682066,-11.35682066,-11.35682066,52.4899786,69.94998206,-11.35682066,-11.35682066,-11.35682066,64.30564098,-11.35682066,-11.35682066,-11.35682066,-11.35682066,91.96909476,-11.35682066,82.74139073,66.84930511,39.08261681,124.0460086,44.76796285,-11.35682066,-11.35682066,208.8722175,46.13903126,57.95771236
3,36.56427209,45.88554829,-11.35682066,-11.35682066,93.97445034,-11.35682066,-11.35682066,-11.35682066,-11.35682066,52.57172407,57.86275897,-11.35682066,-11.35682066,-11.35682066,163.3728971,-11.35682066,150.0704643,-11.35682066,20.90402375,91.99734746,-11.35682066,-11.35682066,66.86560294,36.56427209,124.0601421,36.56427209,71.51488118,-11.35682066,208.8865218,49.67570779,45.38911329
4,46.65083854,45.88215935,126.795857,17.49567333,-11.35682066,-11.35682066,-11.35682066,-11.35682066,-11.35682066,29.12152047,121.4899909,39.08261681,47.56674746,-11.35682066,-11.35682066,-11.35682066,168.6694426,-11.35682066,-11.35682066,-11.35682066,45.1004004,-11.35682066,69.48907601,36.56427209,18.90948389,39.08261681,186.4596338,-11.35682066,-11.35682066,42.60715336,51.72265214
5,44.12590715,45.87342256,48.4871987,88.61067731,158.8426671,51.98331168,-11.35682066,28.61042515,-11.35682066,42.78421634,121.5741937,36.56427209,44.43639389,144.2277644,43.41685175,-11.35682066,135.9635101,-11.35682066,42.44096306,-11.35682066,-11.35682066,38.42191381,114.5064366,264.5013734,212.5593703,56.06004819,-11.35682066,34.0393407,34.0393407,36.56427209,39.08261681
6,147.6743431,98.8535866,-11.35682066,143.8225236,158.3430852,169.1037192,166.2946172,78.15355891,64.30564098,-11.35682066,-11.35682066,110.5745377,166.8024518,101.1057469,157.9086946,-11.35682066,-13.25052205,54.09150309,127.8210806,-11.35682066,256.1638032,61.77769087,-13.25052205,-11.35682066,-11.35682066,39.08261681,266.5957873,-11.35682066,123.0696927,-11.35682066,44.12590715
7,-13.25052205,-13.25052205,-11.35682066,-11.35682066,196.8127345,-13.25052205,-11.35682066,-11.35682066,-13.25052205,-11.35682066,-13.25052205,-13.25052205,-11.35682066,-11.35682066,-11.35682066,-13.25052205,-13.25052205,-13.25052205,-13.25052205,-13.25052205,-13.25052205,46.65083854,-13.25052205,-13.25052205,-11.35682066,49.1691975,-13.25052205,-13.25052205,-11.35682066,-11.35682066,-13.25052205
8,-13.25052205,-13.25052205,-13.25052205,-13.25052205,-13.25052205,-11.35682066,-13.25052205,-11.35682066,-13.25052205,-13.25052205,-13.25052205,-13.25052205,-13.25052205,-13.25052205,-11.35682066,-13.25052205,-13.25052205,-13.25052205,-13.25052205,-13.25052205,-13.25052205,-13.25052205,-13.25052205,-13.25052205,-11.35682066,-11.35682066,-13.25052205,-13.25052205,-13.25052205,-11.35682066,-13.25052205
9,-13.25052205,-13.25052205,-13.25052205,-13.25052205,-11.35682066,-13.25052205,-13.25052205,-13.25052205,-13.25052205,-13.25052205,-13.25052205,-13.25052205,-13.25052205,-13.25052205,-13.25052205,-13.25052205,-13.25052205,-13.25052205,-13.25052205,-13.25052205,-13.25052205,-13.25052205,-13.25052205,-13.25052205,46.65083854,-11.35682066,-13.25052205,-13.25052205,-13.25052205,-13.25052205,-13.25052205
