Hour of the Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,283.4992872,73.11822187,158.2065159,73.11822187,272.8995691,73.11822187,78.37607118,70.6310367,68.14385152,73.11822187,70.6310367,68.14385152,70.6310367,73.11822187,70.6310367,297.9562214,70.6310367,73.11822187,81.88566668,99.46326997,75.60539281,79.72038811,73.11822187,65.66325301,73.11822187,404.5409626,60.68888266,65.66325301,70.02124307,48.26613012,63.17606784
1,70.6310367,86.3736346,93.49494133,116.415209,79.775256,70.6310367,73.11822187,68.14385152,65.66325301,73.11822187,73.11822187,425.2494092,73.11822187,73.11822187,73.11822187,78.52593516,145.4213929,73.11822187,73.11822187,81.89961504,73.11822187,73.11822187,68.14385152,63.17606784,70.6310367,60.68888266,60.68888266,65.66325301,78.74319756,58.20169749,69.93088896
2,70.6310367,73.11822187,90.57965326,68.14385152,90.51533052,70.6310367,73.11822187,68.14385152,65.66325301,70.6310367,68.14385152,70.6310367,65.66325301,73.11822187,73.11822187,75.82190053,73.11822187,70.6310367,70.6310367,73.11822187,73.11822187,73.11822187,70.6310367,60.68888266,68.14385152,60.68888266,48.26613012,65.66325301,78.74025004,65.66325301,65.66325301
3,68.14385152,73.11822187,81.85164709,70.6310367,90.51533052,65.66325301,70.6310367,65.66325301,65.66325301,70.6310367,68.14385152,68.14385152,65.66325301,68.14385152,133.1885187,73.11822187,73.11822187,68.14385152,73.11822187,73.11822187,73.11822187,70.6310367,70.6310367,60.68888266,65.66325301,50.74672863,48.26613012,65.66325301,78.74013612,63.17606784,65.66325301
4,70.6310367,79.73554681,96.39723508,68.14385152,80.57317649,73.11822187,73.11822187,65.66325301,65.66325301,70.6310367,65.66325301,68.14385152,65.66325301,81.2299698,83.93287953,73.11822187,81.22937175,68.14385152,70.6310367,73.11822187,73.11822187,73.11822187,70.6310367,60.68888266,65.66325301,50.74672863,48.26613012,74.40174741,74.38846829,65.66325301,65.66325301
5,68.14385152,86.35723709,99.29715087,73.11822187,80.57317649,73.11822187,78.37471845,70.6310367,70.6310367,73.11822187,65.66325301,68.14385152,65.66325301,208.9882909,244.1621163,86.63684297,168.0999189,70.6310367,73.11822187,81.88234894,75.60539281,115.4261775,79.50160212,65.66325301,65.66325301,50.74672863,60.68888266,87.50518874,87.47497103,65.66325301,82.7267565
6,364.0284891,231.3350343,68.14385152,116.1283472,80.57317649,94.07730814,78.36132542,83.60094036,222.4480429,107.2109672,65.66325301,65.66325301,73.11822187,70.6310367,68.14385152,168.0152177,70.6310367,75.82080411,70.6310367,108.1271812,162.7858774,93.03914107,104.9824765,115.3016187,65.66325301,50.74672863,401.2788697,65.66325301,81.7980465,70.6310367,209.9856524
7,141.7579322,112.6783043,68.14385152,103.6787231,144.5391558,99.30926236,88.8235455,88.83480264,88.83370622,100.3404868,73.11822187,73.11822187,70.6310367,73.11822187,70.6310367,73.11822187,70.6310367,83.91860367,81.77643744,229.3535396,135.6134885,88.02905666,85.83004329,138.9924084,101.5399031,60.68888266,400.6764072,253.9555597,74.35420664,68.14385152,93.78475065
8,68.14385152,176.2156395,73.11822187,38.32397609,73.11822187,88.80418623,83.58331828,78.35555853,65.66325301,93.52877581,68.14385152,70.6310367,81.22555563,70.6310367,70.6310367,173.6213752,70.6310367,89.31346503,99.01988023,43.29175977,60.68888266,73.11822187,79.46032661,60.68888266,38.32397609,50.74672863,65.66325301,70.01484965,65.66325301,48.26613012,78.40611802
9,73.11822187,45.77894495,60.68888266,38.32397609,80.57317649,68.14385152,65.66325301,70.6310367,43.29175977,70.6310367,65.66325301,65.66325301,73.11822187,73.11822187,73.11822187,73.11822187,192.338529,81.21543763,81.73739749,43.29175977,60.68888266,78.08134932,73.11822187,-11.38677984,43.29175977,48.26613012,60.68888266,78.70624469,60.68888266,60.68888266,53.23391381
